date,open,high,low,close,volume,labels
2021-11-09,142.0,150.48,142.0,146.86,65677211,0
2021-11-10,147.1,148.88,145.6923,147.2,41345711,0
2021-11-11,146.68,147.949,143.84,145.4,27335510,0
2021-11-12,145.0,145.5283,142.44,143.28,25603570,0
2021-11-15,142.12,146.4,141.86,144.0,16980830,0
2021-11-16,143.42,145.86,142.4,143.92,19505461,0
2021-11-17,142.8,144.24,140.44,140.44,19933189,0
2021-11-18,140.4,142.58,138.0,141.48,17084789,0
2021-11-19,142.26,142.66,132.504,136.0,74157320,0
2021-11-22,136.32,139.74,134.28,135.82,26956811,0
2021-11-23,134.78,138.58,134.22,135.86,17563490,0
2021-11-24,135.56,136.844,131.72,135.02,35207398,0
2021-11-25,136.94,137.71,134.6113,137.54,15515270,0
2021-11-26,124.56,127.96,116.469,121.56,117186602,0
2021-11-29,123.44,125.38,121.0,122.5,51169660,0
2021-11-30,120.76,126.6,118.04,122.5,82792062,0
2021-12-01,123.42,128.16,123.28,126.14,47520738,0
2021-12-02,123.88,126.93,122.6322,125.44,23878971,1
2021-12-03,126.74,127.96,124.5,124.9,22257369,0
2021-12-06,124.9,129.7,124.0748,129.7,33875727,0
2021-12-07,130.74,133.0,129.48,131.8,30225000,0
2021-12-08,130.94,131.457,124.8,128.64,42177578,0
2021-12-09,129.96,131.0,122.66,124.3,40545359,0
2021-12-10,122.5,161.9083,121.796,122.8,34668441,0
2021-12-13,122.9,123.36,116.38,116.94,42067941,0
2021-12-14,117.2,122.5,116.131,117.14,42089199,0
2021-12-15,117.64,118.0,112.7,113.02,29174490,0
2021-12-16,116.4,117.54,112.92,113.38,30283689,0
2021-12-17,113.3,115.94,112.72,114.3,35573898,0
